title,price ,spec
MSI GTX 1650 VENTUS XS,"4650",Memory Clock : 8000MHz | Memory Size : 4GB
POWER COLOR AXRX 550 Red Dragon,"2890",Memory Clock : 6000MHz | Memory Size : 4GB
MSI RTX 3060Ti Ventus 2X OC,"11505",Memory Clock : 14000MHz | Memory Size : 8GB
ASUS RTX 3060Ti Dual OC,"11725",Memory Clock : 14000MHz | Memory Size : 8GB
GALAX GTX 1660 Ti (1-CLICK OC),"9990",Memory Clock : 15000MHz | Memory Size : 6GB
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition,"19990",Memory Clock : 19400 MHz | Memory Size : 16GB
MSI Radeon RX 7900 XTX Gaming Trio Classic 24G,"42400",Memory Clock : 20000 MHz | Memory Size : 24GB
ASUS GeForce RTX 4090 ROG Strix OC,"80900",Memory Clock : 21000 MHz | Memory Size : 24GB
