title,price,spec
NZXT H1,"13215","Mainboard Support : Mini-ITX, Micro-ATX, ATX"
IN WIN 909 Full Tower (Black),"11190","Mainboard Support : Mini-ITX, Micro-ATX, ATX"
ASUS GX601 ROG Strix Helios White Edition,"9900","Mainboard Support : Mini-ITX, Micro-ATX, ATX, E-ATX"
CUBIC Hornets Black,555,"Mainboard Support : Mini-ITX, Micro-ATX, ATX"
AERO COOL CS-1103 Black,915,"Mainboard Support : Mini-ITX, Micro-ATX, ATX"
Tsunami Galaxy G15 Ablaze Black,940,"Mainboard Support : Mini-ITX, Micro-ATX, ATX"
